scheme,budget,stratum,contrast,n_class_instances_n13,delta_mean_n13,ci95_lo_n13,ci95_hi_n13,p_raw_n13,p_fdr_n13,n_class_instances_n12,delta_mean_n12,ci95_lo_n12,ci95_hi_n12,p_raw_n12,p_fdr_n12,delta_shift,sign_flip,sig_change
S1_within_dataset,all,5-20% (uncommon),scgpt - hvg_pca,60,0.06114909544547223,0.045060676271400264,0.07862250051204403,1.3332716768418377e-10,4.799778036630616e-09,52,0.06339251050097462,0.046359530390111786,0.08246739156225073,1.768408698752163e-09,4.722769375575808e-08,0.002243415055502393,False,False
S1_within_dataset,all,>20% (common),scgpt - hvg_pca,17,0.029737073353499902,0.015479448429233695,0.04854069961881888,0.000152587890625,0.00091552734375,17,0.029737073353499902,0.015479448429233695,0.04854069961881888,0.000152587890625,0.00091552734375,0.0,False,False
S2_leave_donor_out,10,1-5% (rare),geneformer - hvg_pca,20,-0.0070966806777785826,-0.049728548033450476,0.044077486875473644,0.34881019592285156,0.4330057604559536,20,-0.0070966806777785826,-0.049728548033450476,0.044077486875473644,0.34881019592285156,0.44847025190080914,0.0,False,False
S2_leave_donor_out,10,5-20% (uncommon),geneformer - hvg_pca,58,0.010985346967208468,-0.015165269673419041,0.038275193056138766,0.2027994523572637,0.27039926980968493,49,0.009824416224014228,-0.021054195574049656,0.04149794298042683,0.4011373299120997,0.4979635819598479,-0.0011609307431942398,False,False
S2_leave_donor_out,10,>20% (common),geneformer - hvg_pca,16,-0.05951449557993522,-0.11491201983270383,-0.0038409346458508293,0.0506591796875,0.0911865234375,16,-0.05951449557993522,-0.11491201983270383,-0.0038409346458508293,0.0506591796875,0.09598581414473684,0.0,False,False
S2_leave_donor_out,10,1-5% (rare),scgpt - hvg_pca,20,-0.022126109553580242,-0.07797893067601537,0.022319540858484706,0.7561664581298828,0.8006468380198759,20,-0.022126109553580242,-0.07797893067601537,0.022319540858484706,0.7561664581298828,0.8006468380198759,0.0,False,False
S2_leave_donor_out,10,5-20% (uncommon),scgpt - hvg_pca,58,-0.0015211621040404698,-0.03218541713704161,0.024244427513309307,0.045349628516978144,0.08592561192690595,49,-0.008988594345263019,-0.04546076202183235,0.02172347363315681,0.20486697152718847,0.2950084389991514,-0.007467432241222548,False,False
S2_leave_donor_out,10,>20% (common),scgpt - hvg_pca,16,-0.047663760599137406,-0.09109829413354072,-0.00021446434125829708,0.05767822265625,0.098876953125,16,-0.047663760599137406,-0.09109829413354072,-0.00021446434125829708,0.05767822265625,0.10321262904575892,0.0,False,False
S2_leave_donor_out,all,1-5% (rare),geneformer - hvg_pca,20,0.010252991116999297,-0.020402722662325047,0.03986465112766837,0.3299827575683594,0.4242635454450335,20,0.010252991116999297,-0.020402722662325047,0.03986465112766837,0.3299827575683594,0.4399770100911458,0.0,False,False
S2_leave_donor_out,all,5-20% (uncommon),geneformer - hvg_pca,58,0.06128639755224204,0.04239068619564021,0.0822386366069442,4.308625851544576e-08,5.170351021853492e-07,49,0.06972124300180682,0.04789043892179605,0.09402127932159446,2.6237607642087823e-09,4.722769375575808e-08,0.008434845449564778,False,False
S2_leave_donor_out,all,>20% (common),geneformer - hvg_pca,16,0.02880852710839294,0.009751473395634125,0.05249499987571484,0.00628662109375,0.01868458763726446,16,0.02880852710839294,0.009751473395634125,0.05249499987571484,0.00628662109375,0.01885986328125,0.0,False,False
S2_leave_donor_out,all,1-5% (rare),scgpt - hvg_pca,20,0.024841920196451112,-0.015377462867403964,0.06330613382996007,0.20244979858398438,0.27039926980968493,20,0.024841920196451112,-0.015377462867403964,0.06330613382996007,0.20244979858398438,0.2950084389991514,0.0,False,False
S2_leave_donor_out,all,5-20% (uncommon),scgpt - hvg_pca,58,0.053379532040107314,0.03613979769348526,0.07263729377086146,4.0335665167602997e-07,3.63020986508427e-06,49,0.052829865178914595,0.03499908259541839,0.07322408712041269,8.377069704579299e-08,7.539362734121369e-07,-0.0005496668611927186,False,False
S2_leave_donor_out,all,>20% (common),scgpt - hvg_pca,16,0.011032956868860973,-0.01341722266940607,0.04013394546430589,0.632171630859375,0.7341347971270161,16,0.011032956868860973,-0.01341722266940607,0.04013394546430589,0.632171630859375,0.6896417791193182,0.0,False,False
S3_leave_dataset_out,10,1-5% (rare),geneformer - hvg_pca,20,-0.04690335903963065,-0.0978528557397437,-0.002070186010526838,0.069580078125,0.10890794836956523,19,-0.05034539312695145,-0.10245614460257221,-0.0026330983367918947,0.049365997314453125,0.09598581414473684,-0.0034420340873208,False,False
