representation,split_file,scheme,holdout_group,budget,seed,n_train_used,C_selected,inner_cv_folds_used,cv_selection_cells,n_dims_selected,seconds,pooled_macro_f1,pooled_macro_f1_all_test_classes,dataset,n_test,n_classes_learnable,n_classes_test_only,macro_f1,macro_f1_all_test_classes,accuracy
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,PAAD_GSE111672,453,7,0,0.633170395399063,0.633170395399063,0.24282560706401765
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,PAAD_GSE154778,2989,6,0,0.5799230797114208,0.5799230797114208,0.4536634325861492
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,1,70,10.0,5,70,768,3.12,0.6602801469848056,0.6602801469848056,STAD_GSE134520,1308,6,0,0.5943994152599142,0.5943994152599142,0.6406727828746177
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,BRCA_GSE161529,6000,10,0,0.713811899716589,0.713811899716589,0.7253333333333334
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,BRCA_GSE176078,6000,9,0,0.678421147166929,0.678421147166929,0.6458333333333334
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,CHOL_GSE125449_aPD1aPDL1aCTLA4,887,8,0,0.7206088429565495,0.7206088429565495,0.5636978579481398
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,CRC_GSE108989,2184,3,0,0.8182574968791041,0.8182574968791041,0.8090659340659341
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,CRC_GSE146771_10X,6000,7,0,0.802644696070363,0.802644696070363,0.7825
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,HNSC_GSE103322,1176,8,0,0.3864612128642221,0.3864612128642221,0.36139455782312924
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,LIHC_GSE140228_10X,5999,9,0,0.8005364912396189,0.8005364912396189,0.8143023837306218
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,LIHC_GSE98638,960,3,0,0.741062791487677,0.741062791487677,0.7145833333333333
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,NSCLC_GSE127465,6000,12,0,0.7798559192401807,0.7798559192401807,0.836
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,NSCLC_GSE131907,6007,10,0,0.6590768432869867,0.6590768432869867,0.6181122024304978
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,PAAD_GSE111672,453,7,0,0.7022753900905162,0.7022753900905162,0.5474613686534217
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,PAAD_GSE154778,2989,6,0,0.5752564922190985,0.5752564922190985,0.6691201070592171
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,2,70,10.0,5,70,768,3.19,0.7240513236140148,0.7240513236140148,STAD_GSE134520,1308,6,0,0.5426765956044842,0.5426765956044842,0.6467889908256881
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,BRCA_GSE161529,6000,10,0,0.592304268824006,0.592304268824006,0.6016666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,BRCA_GSE176078,6000,9,0,0.6205964177352914,0.6205964177352914,0.6106666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,CHOL_GSE125449_aPD1aPDL1aCTLA4,887,8,0,0.702521861777947,0.702521861777947,0.6268320180383314
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,CRC_GSE108989,2184,3,0,0.5318312490731146,0.5318312490731146,0.5668498168498168
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,CRC_GSE146771_10X,6000,7,0,0.5907596407479778,0.5907596407479778,0.5838333333333333
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,HNSC_GSE103322,1176,8,0,0.5055765282465332,0.5055765282465332,0.36054421768707484
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,LIHC_GSE140228_10X,5999,9,0,0.7236931581186533,0.7236931581186533,0.7207867977996333
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,LIHC_GSE98638,960,3,0,0.5032794895730939,0.5032794895730939,0.5510416666666667
