contrast,metric,n_datasets,delta_mean,delta_median,ci95_lo,ci95_hi,cohens_dz,wilcoxon_stat,p_raw,ttest_p,n_datasets_favouring_a,n_runs_a,n_runs_b,datasets,scheme,budget,hypothesis,p_fdr,significant_fdr_005,negligible_effect,verdict
scgpt - harmony,macro_f1,13,0.05459947422093787,0.10505574221229308,-0.01595779851126236,0.11600789056738162,0.4301794340659026,29.0,0.2734375,0.14685511651842412,10,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,5,H1,0.421875,False,False,no detectable difference
geneformer - hvg_pca,macro_f1,13,-0.023755094231529685,-0.0012014733494142282,-0.06182401530624499,0.00972539173750934,-0.3461695828868445,37.0,0.587890625,0.23578734725559192,6,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,5,H1,0.7215021306818182,False,False,no detectable difference
geneformer - scvi,macro_f1,13,-0.01645027158951585,0.012486354458873361,-0.05353979741921823,0.013548705502957451,-0.2572546165671876,38.0,0.635498046875,0.3719243093198652,7,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,5,H1,0.7460194463315217,False,True,no detectable difference
geneformer - harmony,macro_f1,13,0.09019740103904948,0.1048769133347468,0.035286801357212974,0.13648932571702793,0.93495111170023,11.0,0.013427734375,0.005559771488304368,10,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,5,H1,0.031525985054347824,True,False,scFM better
scgpt - hvg_pca,macro_f1,13,-0.01194386457248857,0.001477159040656928,-0.032371914980836844,0.006704603912059176,-0.3172983815694199,35.0,0.497314453125,0.2749170819799382,7,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,50,H1,0.6471079631024097,False,True,no detectable difference
scgpt - scvi,macro_f1,13,0.003043345630876484,0.018572113834935622,-0.013917499604342274,0.019446863007041078,0.09618487415193662,42.0,0.83935546875,0.7347475932380821,8,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,50,H1,0.8716383713942308,False,True,no detectable difference
scgpt - harmony,macro_f1,13,0.0696366386806561,0.07460231875665058,0.04322532393305619,0.09664263729047136,1.3652096184516653,1.0,0.00048828125,0.00035241591997713936,12,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,50,H1,0.002197265625,True,False,scFM better
geneformer - hvg_pca,macro_f1,13,-0.0031739170624499003,-0.004476993078806779,-0.019108640555905606,0.013501307914816916,-0.10059860421608127,38.0,0.635498046875,0.7231271070875639,5,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,50,H1,0.7460194463315217,False,True,no detectable difference
geneformer - scvi,macro_f1,13,0.011813293140915154,0.00589404388333159,-0.003546073038270477,0.028184117211968465,0.384972700726601,28.0,0.243896484375,0.19035658118557808,7,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,50,H1,0.3873650045955882,False,True,no detectable difference
geneformer - harmony,macro_f1,13,0.07840658619069478,0.06675863960972406,0.05585238117103209,0.10236814535681901,1.7427913756907407,0.0,0.000244140625,4.0448775446845024e-05,13,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,50,H1,0.0017578124999999998,True,False,scFM better
