scheme,budget,contrast,delta_mean_n13,ci95_lo_n13,ci95_hi_n13,p_fdr_n13,cohens_dz_n13,n_datasets_n13,n_datasets_favouring_a_n13,delta_mean_n12,ci95_lo_n12,ci95_hi_n12,p_fdr_n12,cohens_dz_n12,n_datasets_n12,n_datasets_favouring_a_n12,delta_shift,sign_flip,sig_change
S1_within_dataset,all,geneformer - harmony,0.13692496472516819,0.10788813137123286,0.1706319112443371,0.0017578124999999998,2.238196968728324,13,13,0.1378024601768587,0.1063963300484369,0.1739868425396719,0.0035156249999999997,2.1595333917365616,12,12,0.0008774954516905242,False,False
S1_within_dataset,all,scgpt - hvg_pca,0.05159210960106526,0.03922075972239822,0.06310157615968905,0.0017578124999999998,2.2397133842093906,13,13,0.05069105661216174,0.037652306460111855,0.0634711109385953,0.0035156249999999997,2.1281835969705267,12,12,-0.000901052988903514,False,False
S1_within_dataset,all,scgpt - scvi,0.09223745578181594,0.07627270756108777,0.11144885270881558,0.0017578124999999998,2.7162077234081012,13,13,0.0917446239116549,0.07456658932679118,0.11243507510758706,0.0035156249999999997,2.5902244545577617,12,12,-0.0004928318701610396,False,False
S1_within_dataset,all,scgpt - harmony,0.13718096904076937,0.10926032809217609,0.1689672560941257,0.0017578124999999998,2.400313486827921,13,13,0.13520266164481434,0.10569955352759579,0.16935327189295699,0.0035156249999999997,2.2828330240787786,12,12,-0.0019783073959550312,False,False
S2_leave_donor_out,5,geneformer - hvg_pca,-0.022694006635847086,-0.07141299879564213,0.018248735411405335,0.6803347565406976,-0.2650287819909843,13,7,-0.0264750669338354,-0.07710982652517512,0.01802952777146553,0.5582126524390244,-0.2998470206162177,12,6,-0.003781060297988314,False,False
S2_leave_donor_out,5,geneformer - scvi,-0.020738793229640166,-0.0661442916732268,0.015724584614442417,0.7215021306818182,-0.26480997568207404,13,6,-0.02097660475681126,-0.06859239161887261,0.019075735395544604,0.7224042338709677,-0.2564589180041189,12,6,-0.00023781152717109247,False,False
S2_leave_donor_out,5,geneformer - harmony,0.0856952327284917,0.03105595134071696,0.13177828308311812,0.026994977678571428,0.8865023817790441,13,12,0.0879796957395516,0.03088798821301988,0.13848735087090247,0.03955078125,0.8745683117655367,12,11,0.0022844630110599035,False,False
S2_leave_donor_out,5,scgpt - hvg_pca,-0.04785796177830836,-0.09955087988299192,0.0019343924885792177,0.3873650045955882,-0.4915399144018664,13,5,-0.057333431328314984,-0.10980933244362263,-0.007684301784853914,0.25150240384615385,-0.6020741018400407,12,4,-0.009475469550006624,False,False
S2_leave_donor_out,5,scgpt - scvi,-0.04590274837210143,-0.09219113758823382,-0.0028414296847122733,0.3594050480769231,-0.5410923114000298,13,5,-0.05183496915129085,-0.09906149976675217,-0.006803521600248337,0.22181919642857142,-0.6045375426282221,12,4,-0.005932220779189416,False,False
S2_leave_donor_out,5,scgpt - harmony,0.06053127758603043,0.008888688972017058,0.10818259171167285,0.08109153891509434,0.6353041349716172,13,9,0.057121331345071996,0.0018803255123468062,0.10816026600470591,0.11910695043103448,0.5788313664739634,12,8,-0.003409946240958431,False,False
S2_leave_donor_out,10,geneformer - hvg_pca,-0.016814127946366313,-0.052686479886599656,0.017759446956378874,0.6471079631024097,-0.2489150459420182,13,5,-0.019657469433761607,-0.05759657735941514,0.017351294088901428,0.5582126524390244,-0.2818838764848582,12,4,-0.0028433414873952935,False,False
S2_leave_donor_out,10,geneformer - scvi,-0.026161839068723696,-0.060059267576015866,0.005371984649566892,0.6297701322115384,-0.415493595578898,13,7,-0.02841178721133129,-0.06508595603949877,0.004932091450571606,0.5200009889240507,-0.43564727539360865,12,6,-0.002249948142607594,False,False
S2_leave_donor_out,10,geneformer - harmony,0.06548282499580174,0.026577521446461083,0.10345641637376335,0.017346833881578948,0.8913939347923611,13,10,0.06567856313209555,0.024494333093432113,0.10637835153790189,0.033804086538461536,0.8560352979456752,12,9,0.00019573813629381043,False,False
S2_leave_donor_out,10,scgpt - hvg_pca,-0.027805186077327175,-0.07468191120051995,0.014095852028910954,0.8716383713942308,-0.32382047876949754,13,8,-0.033383523073433514,-0.0827636427395891,0.01103000903804566,0.7540471971649485,-0.38288635413672245,12,7,-0.0055783369961063395,False,False
S2_leave_donor_out,10,scgpt - scvi,-0.03715289719968455,-0.08378168036632379,0.00500979019631245,0.8716383713942308,-0.4351437592133585,13,7,-0.0421378408510032,-0.09170316829180085,0.002419848728879677,0.7540471971649485,-0.4833486726159205,12,6,-0.00498494365131865,False,False
S2_leave_donor_out,10,scgpt - harmony,0.05449176686484089,0.007245163197743409,0.09756788730405509,0.05748046875,0.6343973486632254,13,9,0.05195250949242364,0.0018576955384393052,0.09821235207258601,0.08656397405660377,0.5824033397946088,12,8,-0.002539257372417253,False,False
S2_leave_donor_out,25,geneformer - hvg_pca,-0.005520503432279782,-0.02220445680452066,0.011046814440559745,0.6803347565406976,-0.1724209289396645,13,5,-0.0049938667531414975,-0.023165080886136547,0.012892727985311011,0.7224042338709677,-0.14959567820796846,12,5,0.0005266366791382843,False,False
S2_leave_donor_out,25,geneformer - scvi,0.003417759654544443,-0.01095630474158187,0.016933390062825935,0.7460194463315217,0.12662296473311505,13,8,0.0043799986636169075,-0.01096979281872052,0.019019255305856245,0.69873046875,0.15666364828520682,12,8,0.0009622390090724643,False,False
