representation,scheme,budget,nominal,variant,score,coverage,coverage_gap,mean_set_size,empty_rate,singleton_rate,n_datasets
geneformer,S1_within_dataset,100,0.95,mondrian,aps,0.9486884855425136,0.0013115144574862797,5.875306474910783,0.021089784381091988,0.07779316051532797,13
geneformer,S1_within_dataset,100,0.95,mondrian,inverse_softmax,0.9476134373026485,0.0023865626973514514,1.664693663349713,0.00031931768772432606,0.49213177545470843,13
geneformer,S1_within_dataset,all,0.8,marginal,aps,0.8019885350805372,-0.001988535080537156,2.1680072261712136,0.18058923995023143,0.2909710759681055,13
geneformer,S1_within_dataset,all,0.8,marginal,inverse_softmax,0.8136607107492672,-0.01366071074926707,0.843073827427838,0.15692617257216204,0.843073827427838,13
geneformer,S1_within_dataset,all,0.8,mondrian,aps,0.7885907378950316,0.011409262104968409,2.208326702870634,0.15195554821983798,0.3235829303780938,13
geneformer,S1_within_dataset,all,0.8,mondrian,inverse_softmax,0.7962712169879276,0.0037287830120724228,0.8464951975879234,0.1535048024120766,0.8464951975879234,13
geneformer,S1_within_dataset,all,0.9,marginal,aps,0.9063367633296522,-0.006336763329652199,3.5079793117628717,0.0871932445717519,0.17601487008907415,13
geneformer,S1_within_dataset,all,0.9,marginal,inverse_softmax,0.9061656433794217,-0.006165643379421679,0.9790897031627814,0.020910296837218616,0.9790897031627814,13
geneformer,S1_within_dataset,all,0.9,mondrian,aps,0.8882825075298302,0.011717492470169786,3.1911057968102674,0.07356716035108692,0.2439921493317087,13
geneformer,S1_within_dataset,all,0.9,mondrian,inverse_softmax,0.8956525436970701,0.0043474563029298205,1.0029745801077738,0.04339906034340261,0.9102401197182413,13
geneformer,S1_within_dataset,all,0.95,marginal,aps,0.9559649048336983,-0.005964904833698375,4.797604961044747,0.041934647797773304,0.09361941241148551,13
geneformer,S1_within_dataset,all,0.95,marginal,inverse_softmax,0.9528968274706149,-0.0028968274706148616,1.1078881401315466,7.692735113971987e-06,0.8938200758425526,13
geneformer,S1_within_dataset,all,0.95,mondrian,aps,0.9410441203801483,0.008955879619851646,4.075997582622237,0.033676969979521736,0.17484753372100112,13
geneformer,S1_within_dataset,all,0.95,mondrian,inverse_softmax,0.9487331458105304,0.0012668541894696888,1.1516275222451902,0.008266936734647044,0.8393015759375404,13
geneformer,S2_leave_donor_out,10,0.8,marginal,aps,0.8002813033877252,-0.0002813033877252481,3.662126199053454,0.13258535535403176,0.149877697974246,13
geneformer,S2_leave_donor_out,10,0.8,marginal,inverse_softmax,0.7776536471420358,0.022346352857964182,1.3338511205693517,0.009839092963908551,0.6971590610910557,13
geneformer,S2_leave_donor_out,10,0.8,mondrian,aps,0.7916158780258853,0.008384121974114679,4.033398487986404,0.07246191094753694,0.15794693502094087,13
geneformer,S2_leave_donor_out,10,0.8,mondrian,inverse_softmax,0.7735811450355918,0.026418854964408288,1.324104300726734,0.04310236508151731,0.6296311992469883,13
